user_id,preferred_categories,budget_range,trip_duration_days,past_places,rating_given
U0232,"hill_station,religious",low,7,"Ooty,Jaipur,Darjeeling",5
U0233,"hill_station,heritage,religious",high,3,Darjeeling,5
U0234,"food,beach,adventure",low,2,Darjeeling,4
U0235,"wildlife,adventure,religious",high,2,"Mysore,Ooty",5
U0236,"nature,wildlife",high,5,"Varanasi,Manali",5
U0237,heritage,medium,5,"Varanasi,Kerala",4
U0238,"heritage,food,adventure",high,4,"Coorg,Rishikesh,Jaipur",4
U0239,"urban,hill_station,heritage",low,5,Ooty,4
U0240,heritage,low,2,"Rishikesh,Darjeeling",3
U0241,food,high,7,"Kerala,Jaipur",4
U0242,"nature,urban,heritage",medium,2,Rishikesh,5
U0243,"wildlife,urban",high,4,Goa,4
U0244,"nature,religious",high,2,Rishikesh,3
U0245,"food,adventure",medium,2,"Goa,Mysore",3
U0246,"urban,religious",low,5,"Varanasi,Mysore,Ooty",5
U0247,"hill_station,heritage,beach",medium,4,"Mysore,Coorg",3
U0248,urban,medium,6,Goa,3
U0249,food,medium,6,"Jaipur,Mysore",3
U0250,"food,heritage",medium,6,"Ooty,Coorg,Varanasi",5
U0251,"religious,nature,adventure",low,4,"Manali,Rishikesh",5
U0252,"beach,nature",medium,7,"Darjeeling,Kerala,Goa",5
U0253,"heritage,adventure",low,7,Goa,5
U0254,"hill_station,wildlife,beach",medium,4,"Jaipur,Rishikesh",5
U0255,adventure,high,6,"Goa,Jaipur",5
U0256,urban,medium,7,"Mysore,Rishikesh",4
U0257,nature,high,4,"Coorg,Ooty,Varanasi",3
U0258,religious,high,4,Ooty,4
U0259,"wildlife,nature,heritage",medium,4,"Ooty,Darjeeling,Manali",5
U0260,"urban,adventure,wildlife",medium,3,"Goa,Ooty",5
U0261,food,medium,7,"Varanasi,Kerala",3
U0262,"religious,urban,hill_station",low,6,"Darjeeling,Kerala,Mysore",3
U0263,"urban,wildlife,food",low,2,Rishikesh,4
U0264,"nature,hill_station,food",low,2,"Jaipur,Rishikesh,Varanasi",4
U0265,"wildlife,religious,heritage",medium,7,Manali,5
U0266,"wildlife,beach,hill_station",medium,3,Rishikesh,4
U0267,religious,low,2,"Darjeeling,Manali",4
U0268,"nature,urban",low,6,"Ooty,Kerala",3
U0269,"heritage,nature",high,4,"Jaipur,Goa,Coorg",4
U0270,"wildlife,heritage,religious",high,5,"Mysore,Coorg",3
U0271,"hill_station,heritage",low,5,"Kerala,Goa",4
U0272,"wildlife,nature",medium,4,"Darjeeling,Goa",4
U0273,"food,wildlife,beach",high,2,"Ooty,Jaipur",4
U0274,"urban,religious,food",low,7,"Coorg,Kerala",3
U0275,nature,low,5,"Darjeeling,Coorg,Rishikesh",5
U0276,"nature,wildlife,adventure",low,7,"Manali,Mysore,Varanasi",5
U0277,"food,hill_station,religious",low,2,"Mysore,Kerala,Jaipur",3
U0278,"urban,nature",low,7,Darjeeling,4
U0279,urban,medium,2,"Jaipur,Mysore",4
U0280,"beach,nature",high,4,"Goa,Rishikesh,Ooty",3
U0281,"wildlife,hill_station,beach",medium,4,"Manali,Mysore,Goa",3
U0282,"beach,religious",medium,3,Rishikesh,4
U0283,"nature,adventure",medium,2,"Mysore,Jaipur,Coorg",3
U0284,urban,medium,6,Kerala,3
U0285,religious,medium,7,"Mysore,Rishikesh,Darjeeling",3
U0286,nature,medium,3,"Kerala,Manali",3
U0287,"adventure,beach,hill_station",low,2,Darjeeling,3
U0288,"beach,wildlife",high,2,"Varanasi,Kerala",5
U0289,beach,low,6,"Kerala,Coorg",5
U0290,"food,wildlife,heritage",low,7,"Kerala,Rishikesh,Ooty",4
U0291,urban,high,7,Rishikesh,5
U0292,"beach,food",high,7,"Mysore,Coorg",5
U0293,"adventure,heritage",medium,5,Mysore,4
U0294,wildlife,medium,7,Varanasi,3
U0295,"adventure,urban,religious",high,3,"Kerala,Ooty",3
U0296,"hill_station,nature",medium,2,"Kerala,Goa,Ooty",4
U0297,"beach,hill_station,nature",high,7,"Mysore,Kerala,Varanasi",3
U0298,"religious,beach",low,3,"Manali,Varanasi,Kerala",5
U0299,"wildlife,adventure,hill_station",high,4,"Rishikesh,Varanasi",5
U0300,"food,religious,heritage",medium,6,"Varanasi,Manali",5
U0301,"food,wildlife",medium,4,"Goa,Kerala",5
U0302,beach,medium,6,"Darjeeling,Rishikesh,Ooty",3
U0303,food,low,5,"Kerala,Varanasi,Coorg",4
U0304,"nature,urban",low,7,"Jaipur,Darjeeling",5
U0305,"nature,heritage,religious",high,2,"Goa,Manali,Darjeeling",3
U0306,"heritage,wildlife",low,7,Goa,3
U0307,"nature,food,beach",high,7,"Darjeeling,Varanasi,Mysore",3
U0308,urban,high,5,Goa,5
U0309,"religious,urban,beach",high,7,"Rishikesh,Jaipur,Manali",3
U0310,"heritage,wildlife,hill_station",high,6,"Coorg,Ooty",4
U0311,food,medium,5,"Kerala,Darjeeling,Ooty",5
U0312,beach,low,5,"Rishikesh,Mysore",4
U0313,beach,high,3,Varanasi,4
U0314,"food,hill_station,religious",low,3,Darjeeling,4
U0315,"beach,hill_station",high,4,"Darjeeling,Goa,Jaipur",4
U0316,wildlife,high,3,"Rishikesh,Manali,Ooty",3
U0317,"wildlife,adventure,food",high,4,"Jaipur,Manali",5
U0318,"food,beach,nature",medium,3,Coorg,5
U0319,"adventure,food,beach",high,4,"Varanasi,Kerala",4
U0320,"adventure,urban,hill_station",high,6,"Rishikesh,Manali,Ooty",3
U0321,"hill_station,urban,heritage",low,5,"Jaipur,Rishikesh,Coorg",4
U0322,hill_station,low,4,"Coorg,Ooty",3
U0323,hill_station,low,5,"Mysore,Darjeeling",5
U0324,"hill_station,beach",low,4,"Manali,Coorg,Rishikesh",3
U0325,"adventure,urban",low,7,"Kerala,Mysore,Jaipur",5
U0326,"heritage,urban",medium,4,"Varanasi,Jaipur",3
U0327,adventure,medium,5,"Varanasi,Manali",4
U0328,"wildlife,nature",high,6,Varanasi,3
U0329,religious,low,5,"Darjeeling,Rishikesh",4
U0330,"food,adventure",high,6,Ooty,4
U0331,"wildlife,nature,heritage",low,5,"Ooty,Varanasi",5
U0332,food,medium,4,"Coorg,Manali",5
U0333,urban,low,7,"Goa,Varanasi,Kerala",4
U0334,"hill_station,adventure",high,5,Ooty,3
U0335,"heritage,adventure",medium,2,"Darjeeling,Varanasi",5
U0336,"urban,adventure",high,2,"Mysore,Manali",3
U0337,food,low,7,"Goa,Rishikesh,Coorg",4
U0338,beach,low,4,Mysore,5
U0339,"urban,wildlife,nature",medium,5,"Darjeeling,Mysore",3
U0340,"beach,nature",low,4,"Manali,Darjeeling",5
U0341,food,medium,4,"Kerala,Mysore",4
U0342,"nature,hill_station",medium,7,"Varanasi,Coorg,Manali",4
U0343,hill_station,low,4,"Manali,Jaipur,Kerala",5
U0344,urban,low,4,"Rishikesh,Varanasi,Kerala",4
U0345,"heritage,urban,food",high,5,"Goa,Kerala",4
U0346,"adventure,urban,beach",high,3,Ooty,5
U0347,hill_station,high,3,"Coorg,Kerala",4
U0348,religious,high,5,"Coorg,Rishikesh,Mysore",5
U0349,food,medium,5,"Jaipur,Ooty,Manali",5
U0350,food,low,3,"Manali,Jaipur",4
U0351,"heritage,adventure,wildlife",high,3,"Rishikesh,Darjeeling,Jaipur",4
U0352,"urban,heritage,religious",low,5,"Jaipur,Darjeeling",4
U0353,"beach,food",low,5,Kerala,4
U0354,"urban,nature,wildlife",high,5,"Varanasi,Darjeeling",3
U0355,beach,low,4,Ooty,3
U0356,"religious,heritage,adventure",medium,6,"Varanasi,Mysore,Manali",5
U0357,religious,high,4,"Goa,Varanasi,Kerala",4
U0358,wildlife,medium,2,"Ooty,Coorg",3
U0359,"hill_station,wildlife",low,7,"Coorg,Rishikesh,Jaipur",5
U0360,wildlife,low,2,"Coorg,Mysore,Ooty",5
U0361,"heritage,food,nature",medium,4,"Ooty,Mysore,Manali",3
U0362,"beach,religious",high,3,"Jaipur,Kerala,Darjeeling",5
U0363,"wildlife,adventure",medium,3,"Ooty,Rishikesh,Mysore",4
U0364,hill_station,medium,6,"Ooty,Coorg,Varanasi",4
U0365,"beach,hill_station",high,5,"Coorg,Manali,Rishikesh",3
U0366,"wildlife,nature",medium,4,"Coorg,Mysore",5
U0367,nature,medium,7,Goa,3
U0368,"nature,beach,urban",low,5,"Goa,Rishikesh",3
U0369,"heritage,religious,hill_station",medium,2,"Coorg,Ooty,Manali",4
U0370,"heritage,beach,wildlife",high,4,"Kerala,Rishikesh,Manali",5
U0371,beach,low,5,Jaipur,5
U0372,urban,high,5,Goa,5
U0373,"hill_station,adventure",high,3,"Manali,Kerala",4
U0374,hill_station,low,4,"Ooty,Jaipur",4
U0375,heritage,low,6,"Goa,Jaipur,Varanasi",4
U0376,"wildlife,heritage,urban",high,7,"Kerala,Manali",3
U0377,hill_station,high,7,"Coorg,Rishikesh",4
U0378,wildlife,medium,7,Kerala,5
U0379,"religious,beach,adventure",high,4,Mysore,5
U0380,"wildlife,adventure,heritage",high,2,Varanasi,4
U0381,wildlife,medium,7,"Manali,Mysore,Goa",4
U0382,"heritage,adventure",high,5,"Mysore,Jaipur",4
U0383,beach,high,2,Ooty,3
U0384,beach,medium,6,"Mysore,Rishikesh",4
U0385,"adventure,hill_station,food",high,6,"Jaipur,Ooty,Manali",4
U0386,urban,low,3,"Coorg,Rishikesh,Manali",4
U0387,"adventure,wildlife,beach",low,2,"Manali,Varanasi",5
U0388,"beach,religious,food",high,7,"Jaipur,Manali,Goa",5
U0389,beach,low,5,"Mysore,Darjeeling",5
U0390,"heritage,food",low,7,"Manali,Goa",4
U0391,"religious,hill_station",medium,7,"Manali,Varanasi,Mysore",5
U0392,"beach,nature",high,3,"Jaipur,Ooty",3
U0393,"hill_station,wildlife,food",high,2,Goa,3
U0394,nature,medium,5,Jaipur,3
U0395,"adventure,wildlife,heritage",low,5,"Coorg,Ooty,Manali",5
U0396,"hill_station,beach",low,3,"Goa,Rishikesh,Manali",4
U0397,"religious,food",low,6,"Goa,Coorg",3
U0398,"religious,wildlife",medium,4,"Varanasi,Kerala,Mysore",3
U0399,adventure,low,3,"Coorg,Goa,Darjeeling",3
U0400,"adventure,religious,beach",low,6,Rishikesh,4
U0401,heritage,high,4,Goa,3
U0402,"adventure,food,wildlife",high,2,"Manali,Mysore,Jaipur",5
U0403,"hill_station,beach",medium,7,Kerala,4
U0404,"food,adventure",high,7,"Coorg,Varanasi",4
U0405,hill_station,low,3,"Manali,Jaipur,Darjeeling",3
U0406,"nature,food",medium,2,"Coorg,Kerala,Varanasi",4
U0407,"religious,hill_station",low,3,"Ooty,Goa,Kerala",4
U0408,hill_station,high,3,"Rishikesh,Mysore",3
U0409,"religious,urban,adventure",low,2,"Varanasi,Mysore",5
U0410,"wildlife,hill_station,urban",low,3,Goa,3
U0411,heritage,low,5,"Manali,Ooty",3
U0412,hill_station,low,7,"Jaipur,Manali",4
U0413,beach,medium,2,Darjeeling,4
U0414,"adventure,nature,beach",medium,7,"Jaipur,Coorg",3
U0415,religious,medium,5,Goa,5
U0416,"wildlife,religious,urban",medium,6,"Goa,Manali",4
U0417,"heritage,adventure",low,7,"Kerala,Mysore,Goa",4
U0418,"food,nature,religious",medium,4,"Mysore,Coorg,Rishikesh",4
U0419,beach,medium,6,Goa,4
U0420,nature,high,4,"Kerala,Jaipur,Manali",3
U0421,"wildlife,religious,nature",high,2,Darjeeling,4
U0422,"heritage,urban",low,6,"Coorg,Goa",5
U0423,"food,heritage,religious",low,5,"Ooty,Jaipur,Varanasi",3
U0424,beach,low,6,Goa,5
U0425,"beach,food",high,3,Coorg,5
U0426,food,low,2,Darjeeling,5
U0427,hill_station,high,4,Coorg,5
U0428,"adventure,hill_station,heritage",medium,4,Jaipur,5
U0429,"nature,food",low,7,"Darjeeling,Coorg,Kerala",5
U0430,"heritage,adventure,urban",high,7,"Jaipur,Darjeeling",5
U0431,adventure,high,2,Darjeeling,4
U0432,"wildlife,hill_station,urban",low,4,"Manali,Kerala,Coorg",4
U0433,hill_station,high,7,"Coorg,Varanasi,Goa",4
U0434,wildlife,high,2,"Ooty,Manali",5
U0435,beach,medium,5,"Rishikesh,Jaipur,Darjeeling",4
U0436,"food,adventure",low,5,"Kerala,Jaipur,Varanasi",3
U0437,religious,low,4,"Manali,Darjeeling",4
U0438,adventure,low,7,Mysore,3
U0439,"nature,beach",medium,7,Darjeeling,4
U0440,beach,low,4,Kerala,4
U0441,"urban,religious,food",medium,4,Manali,3
U0442,"urban,nature",low,2,"Goa,Rishikesh",3
U0443,"nature,wildlife",low,2,Jaipur,5
U0444,"hill_station,nature",low,4,"Varanasi,Darjeeling",5
U0445,"hill_station,adventure",low,4,"Coorg,Jaipur",4
U0446,religious,medium,5,"Kerala,Ooty",5
U0447,heritage,high,7,Manali,5
U0448,"urban,adventure",high,3,"Goa,Rishikesh,Mysore",5
U0449,"nature,wildlife,urban",medium,2,"Goa,Mysore",5
U0450,"heritage,hill_station,adventure",medium,3,Kerala,3
U0451,beach,medium,2,"Rishikesh,Kerala,Jaipur",5
U0452,"food,hill_station",low,5,"Rishikesh,Mysore,Coorg",4
U0453,"nature,beach,adventure",high,6,"Mysore,Rishikesh,Manali",4
U0454,heritage,high,6,"Manali,Darjeeling,Mysore",4
U0455,"food,adventure,heritage",medium,7,"Darjeeling,Varanasi",3
U0456,religious,medium,3,"Darjeeling,Rishikesh,Goa",4
U0457,"wildlife,beach",high,5,"Coorg,Goa",4
U0458,"religious,urban",medium,7,"Manali,Kerala,Jaipur",4
U0459,"nature,food,heritage",high,5,"Manali,Kerala,Varanasi",3
U0460,"nature,food",low,6,Manali,4
U0461,"urban,adventure,hill_station",high,6,Jaipur,3
U0462,beach,low,2,"Goa,Coorg",5
U0463,religious,medium,5,"Rishikesh,Manali,Goa",3
U0464,"nature,urban",low,5,"Mysore,Coorg,Darjeeling",3
U0465,"hill_station,religious",low,5,Jaipur,5
U0466,wildlife,high,3,"Kerala,Ooty,Rishikesh",5
